instance,ratio,k_mode,split_mode,converged,time,nodes,total_depth,depth_attempts,final_depth_iterations,total_iterations,m_states,Ff,Fb,min_frontier,max_frontier,min_over_m,max_over_m,geo_over_m,prod_over_m2,imbalance,iter0_fill_ratio,iter1_fill_ratio
7,0.01,optk,fixed,True,8.11242,180944617,50,10,2,19,18204.444444444445,3260002,669532,669532,3260002,36.778491210937496,179.07725830078124,81.15535330767814,6586.191370494067,4.8690757125873,0.68802,0.278696
7,0.1,k1,dynamic,True,2.75869,61058303,50,10,2,17,181680.35555555555,16658,68,68,16658,0.0003742837236973948,0.0916885039610471,0.005858115284183476,3.431751468278404e-05,244.97058823529412,0.00172696,1.95704e-06
7,0.1,k1,fixed,True,5.29839,106371607,50,10,2,17,181680.35555555555,3260002,106832,106832,3260002,0.5880217466182365,17.943613056190507,3.248266413018325,10.551234689942934,30.51522015875393,0.110286,0.00525465
7,0.1,optk,dynamic,True,2.76593,61058303,50,10,2,17,181680.35555555555,16658,2,2,16658,1.100834481462926e-05,0.0916885039610471,0.0010046584828391721,1.0093386671407072e-06,8329.0,0.00344904,2.4463e-07
7,0.1,optk,fixed,True,5.31197,106371607,50,10,2,17,181680.35555555555,3260002,40814,40814,3260002,0.22464729263213928,17.943613056190507,2.0077310808751014,4.030984093111904,79.87460185230559,0.208331,0.00406783
7,0.5,k1,dynamic,True,2.77294,61058303,50,10,2,17,908219.7333333333,16658,48,48,16658,5.2850646422128686e-05,0.018341376418746242,0.0009845575656112376,9.693536000023266e-07,347.0416666666667,0.000345585,4.89358e-08
7,0.5,k1,fixed,True,5.44124,106371607,50,10,2,17,908219.7333333333,3260002,22269,22269,3260002,0.024519396774466327,3.589441938279841,0.29666639695724367,0.08801095108359289,146.39193497687367,0.0230953,0.000216394
7,0.5,optk,dynamic,True,2.78917,61058303,50,10,2,17,908219.7333333333,16658,2,2,16658,2.2021102675886952e-06,0.018341376418746242,0.00020097197151202522,4.0389733333430275e-08,8329.0,0.00310632,2.20211e-07
7,0.5,optk,fixed,True,4.95396,106371607,50,10,2,17,908219.7333333333,3260002,2,2,3260002,2.2021102675886952e-06,3.589441938279841,0.0028114670453696423,7.904346947199505e-06,1630001.0,0.189626,2.20211e-07
8,0.01,k1,dynamic,True,0.811601,18393137,46,8,2,15,4733.155555555555,258364,99883,99883,258364,21.102834848257213,54.58599384014423,33.93993537172028,1151.9192130365493,2.5866663996876347,0.402184,0.204186
