Size,K_Hash,Set_Ratio,Total,Stable,Unstable,Stab_Percent,Avg_Loop,Avg_Final_Inserted,Avg_Set_Size
1,2,0.1,1000,965,35,96.5,16.232,14.626,1.713
1,4,0.1,1000,967,33,96.7,16.241,15.444,1.703
1,8,0.1,1000,965,35,96.5,16.177,15.908,1.713
1,16,0.1,1000,967,33,96.7,16.388,16.68,1.704
2,1,0.1,1000,997,3,99.7,8.977,3.89,1.459
2,2,0.1,1000,997,3,99.7,8.862,4.059,1.459
2,4,0.1,1000,997,3,99.7,8.91,4.376,1.479
2,8,0.1,1000,997,3,99.7,8.97,3.869,1.459
2,16,0.1,1000,997,3,99.7,9.01,5.242,1.459
4,1,0.1,1000,1000,0,100.0,7.786,1.513,1.399
4,2,0.1,1000,1000,0,100.0,7.766,1.501,1.399
4,4,0.1,1000,1000,0,100.0,7.704,1.499,1.399
4,8,0.1,1000,1000,0,100.0,7.708,1.501,1.399
4,16,0.1,1000,1000,0,100.0,7.705,1.504,1.399
8,1,0.1,1000,1000,0,100.0,7.369,1.516,1.399
8,2,0.1,1000,1000,0,100.0,7.368,1.519,1.399
8,4,0.1,1000,1000,0,100.0,7.368,1.519,1.399
8,8,0.1,1000,1000,0,100.0,7.379,1.522,1.399
8,16,0.1,1000,1000,0,100.0,7.377,1.517,1.399
16,1,0.1,1000,1000,0,100.0,7.176,1.521,1.399
16,2,0.1,1000,1000,0,100.0,7.172,1.524,1.399
16,4,0.1,1000,1000,0,100.0,7.175,1.523,1.399
16,8,0.1,1000,1000,0,100.0,7.171,1.519,1.399
16,16,0.1,1000,1000,0,100.0,7.172,1.519,1.399
32,1,0.1,1000,1000,0,100.0,7.059,1.509,1.399
32,2,0.1,1000,1000,0,100.0,7.059,1.509,1.399
32,4,0.1,1000,1000,0,100.0,7.059,1.509,1.399
32,8,0.1,1000,1000,0,100.0,7.059,1.509,1.399
32,16,0.1,1000,1000,0,100.0,7.059,1.509,1.399
64,1,0.1,1000,1000,0,100.0,7.008,1.508,1.399
64,2,0.1,1000,1000,0,100.0,7.008,1.508,1.399
64,4,0.1,1000,1000,0,100.0,7.008,1.508,1.399
64,8,0.1,1000,1000,0,100.0,7.008,1.508,1.399
64,16,0.1,1000,1000,0,100.0,7.008,1.508,1.399
128,1,0.1,1000,1000,0,100.0,6.997,1.508,1.399
128,2,0.1,1000,1000,0,100.0,6.997,1.508,1.399
128,4,0.1,1000,1000,0,100.0,6.997,1.508,1.399
128,8,0.1,1000,1000,0,100.0,6.997,1.508,1.399
128,16,0.1,1000,1000,0,100.0,6.997,1.508,1.399
256,1,0.1,1000,1000,0,100.0,6.996,1.51,1.399
256,2,0.1,1000,1000,0,100.0,6.996,1.51,1.399
256,4,0.1,1000,1000,0,100.0,6.996,1.51,1.399
256,8,0.1,1000,1000,0,100.0,6.996,1.51,1.399
256,16,0.1,1000,1000,0,100.0,6.996,1.51,1.399
512,1,0.1,1000,1000,0,100.0,6.996,1.51,1.399
512,2,0.1,1000,1000,0,100.0,6.996,1.51,1.399
512,4,0.1,1000,1000,0,100.0,6.996,1.51,1.399
512,8,0.1,1000,1000,0,100.0,6.996,1.51,1.399
512,16,0.1,1000,1000,0,100.0,6.996,1.51,1.399
1024,1,0.1,1000,1000,0,100.0,6.996,1.51,1.399
1024,2,0.1,1000,1000,0,100.0,6.996,1.51,1.399
1024,4,0.1,1000,1000,0,100.0,6.996,1.51,1.399
1024,8,0.1,1000,1000,0,100.0,6.996,1.51,1.399
1024,16,0.1,1000,1000,0,100.0,6.996,1.51,1.399
2048,1,0.1,1000,1000,0,100.0,6.996,1.51,1.399
2048,2,0.1,1000,1000,0,100.0,6.996,1.51,1.399
2048,4,0.1,1000,1000,0,100.0,6.996,1.51,1.399
2048,8,0.1,1000,1000,0,100.0,6.996,1.51,1.399
2048,16,0.1,1000,1000,0,100.0,6.996,1.51,1.399
4096,1,0.1,1000,1000,0,100.0,6.996,1.51,1.399
4096,2,0.1,1000,1000,0,100.0,6.996,1.51,1.399
4096,4,0.1,1000,1000,0,100.0,6.996,1.51,1.399
4096,8,0.1,1000,1000,0,100.0,6.996,1.51,1.399
4096,16,0.1,1000,1000,0,100.0,6.996,1.51,1.399
8192,1,0.1,1000,1000,0,100.0,6.996,1.51,1.399
8192,2,0.1,1000,1000,0,100.0,6.996,1.51,1.399
8192,4,0.1,1000,1000,0,100.0,6.996,1.51,1.399
8192,8,0.1,1000,1000,0,100.0,6.996,1.51,1.399
8192,16,0.1,1000,1000,0,100.0,6.996,1.51,1.399
1,1,0.25,1000,977,23,97.7,13.318,13.979,2.0
1,2,0.25,1000,976,24,97.6,13.384,13.98,2.027
1,4,0.25,1000,976,24,97.6,13.287,15.301,2.054
1,8,0.25,1000,977,23,97.7,13.424,15.682,2.0
1,16,0.25,1000,974,26,97.39999999999999,13.672,17.336,2.075
2,1,0.25,1000,997,3,99.7,8.357,3.884,1.561
2,2,0.25,1000,997,3,99.7,8.397,3.964,1.561
2,4,0.25,1000,997,3,99.7,8.369,4.091,1.561
2,8,0.25,1000,997,3,99.7,8.377,4.66,1.561
2,16,0.25,1000,997,3,99.7,8.432,4.239,1.561
4,1,0.25,1000,1000,0,100.0,7.356,1.51,1.399
4,2,0.25,1000,1000,0,100.0,7.356,1.51,1.399
4,4,0.25,1000,1000,0,100.0,7.384,1.511,1.399
4,8,0.25,1000,1000,0,100.0,7.379,1.511,1.399
4,16,0.25,1000,1000,0,100.0,7.386,1.51,1.399
8,1,0.25,1000,1000,0,100.0,7.131,1.521,1.399
8,2,0.25,1000,1000,0,100.0,7.131,1.521,1.399
8,4,0.25,1000,1000,0,100.0,7.13,1.521,1.399
8,8,0.25,1000,1000,0,100.0,7.134,1.521,1.399
8,16,0.25,1000,1000,0,100.0,7.134,1.521,1.399
16,1,0.25,1000,1000,0,100.0,7.035,1.508,1.399
16,2,0.25,1000,1000,0,100.0,7.035,1.508,1.399
16,4,0.25,1000,1000,0,100.0,7.035,1.508,1.399
16,8,0.25,1000,1000,0,100.0,7.035,1.508,1.399
16,16,0.25,1000,1000,0,100.0,7.035,1.508,1.399
32,1,0.25,1000,1000,0,100.0,7.004,1.508,1.399
32,2,0.25,1000,1000,0,100.0,7.004,1.508,1.399
32,4,0.25,1000,1000,0,100.0,7.004,1.508,1.399
32,8,0.25,1000,1000,0,100.0,7.004,1.508,1.399
32,16,0.25,1000,1000,0,100.0,7.004,1.508,1.399
64,1,0.25,1000,1000,0,100.0,6.997,1.508,1.399
64,2,0.25,1000,1000,0,100.0,6.997,1.508,1.399
64,4,0.25,1000,1000,0,100.0,6.997,1.508,1.399
64,8,0.25,1000,1000,0,100.0,6.997,1.508,1.399
64,16,0.25,1000,1000,0,100.0,6.997,1.508,1.399
128,1,0.25,1000,1000,0,100.0,6.996,1.51,1.399
128,2,0.25,1000,1000,0,100.0,6.996,1.51,1.399
128,4,0.25,1000,1000,0,100.0,6.996,1.51,1.399
128,8,0.25,1000,1000,0,100.0,6.996,1.51,1.399
128,16,0.25,1000,1000,0,100.0,6.996,1.51,1.399
256,1,0.25,1000,1000,0,100.0,6.996,1.51,1.399
256,2,0.25,1000,1000,0,100.0,6.996,1.51,1.399
256,4,0.25,1000,1000,0,100.0,6.996,1.51,1.399
256,8,0.25,1000,1000,0,100.0,6.996,1.51,1.399
256,16,0.25,1000,1000,0,100.0,6.996,1.51,1.399
512,1,0.25,1000,1000,0,100.0,6.996,1.51,1.399
512,2,0.25,1000,1000,0,100.0,6.996,1.51,1.399
512,4,0.25,1000,1000,0,100.0,6.996,1.51,1.399
512,8,0.25,1000,1000,0,100.0,6.996,1.51,1.399
512,16,0.25,1000,1000,0,100.0,6.996,1.51,1.399
1024,1,0.25,1000,1000,0,100.0,6.996,1.51,1.399
1024,2,0.25,1000,1000,0,100.0,6.996,1.51,1.399
1024,4,0.25,1000,1000,0,100.0,6.996,1.51,1.399
1024,8,0.25,1000,1000,0,100.0,6.996,1.51,1.399
1024,16,0.25,1000,1000,0,100.0,6.996,1.51,1.399
2048,1,0.25,1000,1000,0,100.0,6.996,1.51,1.399
2048,2,0.25,1000,1000,0,100.0,6.996,1.51,1.399
2048,4,0.25,1000,1000,0,100.0,6.996,1.51,1.399
2048,8,0.25,1000,1000,0,100.0,6.996,1.51,1.399
2048,16,0.25,1000,1000,0,100.0,6.996,1.51,1.399
4096,1,0.25,1000,1000,0,100.0,6.996,1.51,1.399
4096,2,0.25,1000,1000,0,100.0,6.996,1.51,1.399
4096,4,0.25,1000,1000,0,100.0,6.996,1.51,1.399
4096,8,0.25,1000,1000,0,100.0,6.996,1.51,1.399
4096,16,0.25,1000,1000,0,100.0,6.996,1.51,1.399
8192,1,0.25,1000,1000,0,100.0,6.996,1.51,1.399
8192,2,0.25,1000,1000,0,100.0,6.996,1.51,1.399
8192,4,0.25,1000,1000,0,100.0,6.996,1.51,1.399
8192,8,0.25,1000,1000,0,100.0,6.996,1.51,1.399
8192,16,0.25,1000,1000,0,100.0,6.996,1.51,1.399
