49,0,10176,4997,4976
49,1,5,3,3
51,0,80064,31984,31135
51,1,93,64,64
53,0,688453,225356,186325
53,1,6790,3775,3733
55,0,3949981,1051929,484181
55,1,122354,55169,52228
57,0,24607730,5129745,577972
57,1,1102463,417787,297289
57,2,12626246,2638860,297289
57,3,1102463,417787,297289
57,4,12626246,2638860,297289
57,5,1102463,417787,297289
57,6,12626246,2638860,297289
57,7,1102463,417787,297289
57,8,12626246,2638860,297289
57,9,1102463,417787,297289
57,10,12626246,2638860,297289
57,11,1102463,417787,297289
57,12,12626246,2638860,297289
57,13,1102463,417787,297289
57,14,12626246,2638860,297289
57,15,1102463,417787,297289
57,16,12626246,2638860,297289
57,17,1102463,417787,297289
57,18,12626246,2638860,297289
57,19,1102463,417787,297289
57,20,12626246,2638860,297289
57,21,1102463,417787,297289
57,22,12626246,2638860,297289
57,23,1102463,417787,297289
57,24,12626246,2638860,297289
57,25,1102463,417787,297289
57,26,12626246,2638860,297289
57,27,1102463,417787,297289
57,28,12626246,2638860,297289
57,29,1102463,417787,297289
57,30,12626246,2638860,297289
57,31,1102463,417787,297289
57,32,12626246,2638860,297289
57,33,1102463,417787,297289
57,34,12626246,2638860,297289
57,35,1102463,417787,297289
57,36,12626246,2638860,297289
57,37,1102463,417787,297289
57,38,12626246,2638860,297289
57,39,1102463,417787,297289
57,40,12626246,2638860,297289
57,41,1102463,417787,297289
57,42,12626246,2638860,297289
57,43,1102463,417787,297289
57,44,12626246,2638860,297289
57,45,1102463,417787,297289
57,46,12626246,2638860,297289
57,47,1102463,417787,297289
57,48,12626246,2638860,297289
57,49,1102463,417787,297289
57,50,12626246,2638860,297289
57,51,1102463,417787,297289
57,52,12626246,2638860,297289
57,53,1102463,417787,297289
57,54,12626246,2638860,297289
57,55,1102463,417787,297289
